Block	Start [ms]	Duration [ms]	Description
ReadData	1313.536	167.705	ReadData, 167.7ms, DataId: 1
ReadData	1481.371	36.4929999999999	ReadData, 36.49ms, DataId: 2
Validate	1481.449	843.273	Validate, 843.27ms, DataId: 1
Validate	1517.96	708.39	Validate, 708.39ms, DataId: 2
ReadData	2227.175	37.8819999999996	ReadData, 37.88ms, DataId: 3
ReadData	2265.415	54.846	ReadData, 54.85ms, DataId: 4
Validate	2320.407	1505.153	Validate, 1505.15ms, DataId: 3
Validate	2324.774	746.058	Validate, 746.06ms, DataId: 4
ComputeFields	3070.861	726.618	ComputeFields, 726.62ms, DataId: 1
ComputeFields	3797.493	1565.971	ComputeFields, 1565.97ms, DataId: 2
ComputeFields	3826.13	1346.896	ComputeFields, 1346.9ms, DataId: 3
ComputeFields	3857.288	880.821	ComputeFields, 880.82ms, DataId: 4
WriteData	4738.315	11.4810000000007	WriteData, 11.48ms, DataId: 1
ReportProgress	4750.213	0.994999999999891	ReportProgress, 0.99ms, DataId: 1
ReadData	4751.868	42.7829999999994	ReadData, 42.78ms, DataId: 5
ReadData	4794.679	46.335	ReadData, 46.34ms, DataId: 6
Validate	4841.044	764.462	Validate, 764.46ms, DataId: 5
Validate	5173.464	1252.423	Validate, 1252.42ms, DataId: 6
WriteData	5363.68	10.067	WriteData, 10.07ms, DataId: 2
WriteData	5374.355	14.2870000000003	WriteData, 14.29ms, DataId: 3
WriteData	5388.731	8.51800000000003	WriteData, 8.52ms, DataId: 4
ReportProgress	5397.293	0.024000000000342	ReportProgress, 0.02ms, DataId: 2
ReportProgress	5397.325	0.00399999999990541	ReportProgress, 0ms, DataId: 3
ReportProgress	5397.335	0.0209999999997308	ReportProgress, 0.02ms, DataId: 4
ReadData	5405.182	31.4650000000001	ReadData, 31.47ms, DataId: 7
ReadData	5436.674	156.629	ReadData, 156.63ms, DataId: 8
Validate	5593.328	1347.986	Validate, 1347.99ms, DataId: 7
Validate	5605.516	729.975	Validate, 729.98ms, DataId: 8
ComputeFields	6335.539	715.362	ComputeFields, 715.36ms, DataId: 5
ComputeFields	6425.977	998.259	ComputeFields, 998.26ms, DataId: 6
WriteData	7051.082	8.70399999999972	WriteData, 8.7ms, DataId: 5
ReportProgress	7059.812	0.00799999999981083	ReportProgress, 0.01ms, DataId: 5
ReadData	7060.092	33.6700000000001	ReadData, 33.67ms, DataId: 9
ReadData	7093.945	81.3100000000004	ReadData, 81.31ms, DataId: 10
Validate	7175.768	768.247	Validate, 768.25ms, DataId: 9
WriteData	7435.444	9.22199999999975	WriteData, 9.22ms, DataId: 6
ReportProgress	7444.688	0.0069999999996071	ReportProgress, 0.01ms, DataId: 6
Validate	7444.895	746.623	Validate, 746.62ms, DataId: 10
ComputeFields	7947.124	1348.003	ComputeFields, 1348ms, DataId: 7
ComputeFields	8191.573	709.589	ComputeFields, 709.59ms, DataId: 8
ComputeFields	8192.05	1192.85	ComputeFields, 1192.85ms, DataId: 9
ComputeFields	8901.169	768.227000000001	ComputeFields, 768.23ms, DataId: 10
WriteData	9295.287	8.67100000000028	WriteData, 8.67ms, DataId: 7
WriteData	9303.976	8.45600000000013	WriteData, 8.46ms, DataId: 8
ReportProgress	9312.879	0.0279999999984284	ReportProgress, 0.03ms, DataId: 7
ReportProgress	9312.914	0.00499999999919964	ReportProgress, 0ms, DataId: 8
WriteData	9385.122	12.0740000000005	WriteData, 12.07ms, DataId: 9
ReportProgress	9397.229	0.00700000000142609	ReportProgress, 0.01ms, DataId: 9
WriteData	9669.452	6.90999999999985	WriteData, 6.91ms, DataId: 10
ReportProgress	9676.672	0.0720000000001164	ReportProgress, 0.07ms, DataId: 10
