Data batch id	Waiting [ms]	ReadData [ms]	Description	Waiting [ms]	Validate [ms]	Description	Waiting [ms]	ComputeFields [ms]	Description	Waiting [ms]	WriteData [ms]	Description	Waiting [ms]	ReportProgress [ms]	Description
1	1313.536	167.705	ReadData, 167.7ms	0.208000000000084	843.273	Validate, 843.27ms	746.139	726.618	ComputeFields, 726.62ms	940.836	11.4810000000007	WriteData, 11.48ms	0.416999999999462	0.994999999999891	ReportProgress, 0.99ms
2	1481.371	36.4929999999999	ReadData, 36.49ms	0.0960000000000036	708.39	Validate, 708.39ms	1571.143	1565.971	ComputeFields, 1565.97ms	0.216000000000349	10.067	WriteData, 10.07ms	23.5459999999994	0.024000000000342	ReportProgress, 0.02ms
3	2227.175	37.8819999999996	ReadData, 37.88ms	55.3500000000004	1505.153	Validate, 1505.15ms	0.570000000000164	1346.896	ComputeFields, 1346.9ms	201.329	14.2870000000003	WriteData, 14.29ms	8.68299999999999	0.00399999999990541	ReportProgress, 0ms
4	2265.415	54.846	ReadData, 54.85ms	4.51299999999992	746.058	Validate, 746.06ms	786.456	880.821	ComputeFields, 880.82ms	650.621999999999	8.51800000000003	WriteData, 8.52ms	0.0860000000002401	0.0209999999997308	ReportProgress, 0.02ms
5	4751.868	42.7829999999994	ReadData, 42.78ms	46.393	764.462	Validate, 764.46ms	730.032999999999	715.362	ComputeFields, 715.36ms	0.181000000000495	8.70399999999972	WriteData, 8.7ms	0.0259999999998399	0.00799999999981083	ReportProgress, 0.01ms
6	4794.679	46.335	ReadData, 46.34ms	332.45	1252.423	Validate, 1252.42ms	0.0900000000001455	998.259	ComputeFields, 998.26ms	11.2080000000005	9.22199999999975	WriteData, 9.22ms	0.0219999999999345	0.0069999999996071	ReportProgress, 0.01ms
7	5405.182	31.4650000000001	ReadData, 31.47ms	156.681	1347.986	Validate, 1347.99ms	1005.81	1348.003	ComputeFields, 1348ms	0.159999999999854	8.67100000000028	WriteData, 8.67ms	8.92100000000028	0.0279999999984284	ReportProgress, 0.03ms
8	5436.674	156.629	ReadData, 156.63ms	12.2129999999997	729.975	Validate, 729.98ms	1856.082	709.589	ComputeFields, 709.59ms	402.814	8.45600000000013	WriteData, 8.46ms	0.481999999999971	0.00499999999919964	ReportProgress, 0ms
9	7060.092	33.6700000000001	ReadData, 33.67ms	82.0060000000003	768.247	Validate, 768.25ms	248.034999999999	1192.85	ComputeFields, 1192.85ms	0.221999999999753	12.0740000000005	WriteData, 12.07ms	0.032999999999447	0.00700000000142609	ReportProgress, 0.01ms
10	7093.945	81.3100000000004	ReadData, 81.31ms	269.64	746.623	Validate, 746.62ms	709.651	768.227000000001	ComputeFields, 768.23ms	0.0559999999986758	6.90999999999985	WriteData, 6.91ms	0.31000000000131	0.0720000000001164	ReportProgress, 0.07ms
