Event Name                     	Time MSec	Process Name   	blockName     	dataId	elapsedMs	Rest  
Manisero.DataflowPoc/BlockEnter	1 105,394	Dataflow (6480)	ReadData      	     1	         	      
Manisero.DataflowPoc/BlockExit 	1 280,147	Dataflow (6480)	ReadData      	     1	   174   	      
Manisero.DataflowPoc/BlockEnter	1 280,257	Dataflow (6480)	Validate      	     1	         	      
Manisero.DataflowPoc/BlockEnter	1 280,312	Dataflow (6480)	ReadData      	     2	         	      
Manisero.DataflowPoc/BlockExit 	1 341,078	Dataflow (6480)	ReadData      	     2	    60   	      
Manisero.DataflowPoc/BlockExit 	1 916,732	Dataflow (6480)	Validate      	     1	   636   	      
Manisero.DataflowPoc/BlockEnter	1 916,797	Dataflow (6480)	ComputeFields 	     1	         	      
Manisero.DataflowPoc/BlockEnter	1 916,837	Dataflow (6480)	Validate      	     2	         	      
Manisero.DataflowPoc/BlockEnter	1 916,845	Dataflow (6480)	ReadData      	     3	         	      
Manisero.DataflowPoc/BlockExit 	1 993,212	Dataflow (6480)	ReadData      	     3	    76   	      
Manisero.DataflowPoc/BlockExit 	2 587,021	Dataflow (6480)	ComputeFields 	     1	   670   	      
Manisero.DataflowPoc/BlockEnter	2 587,186	Dataflow (6480)	WriteData     	     1	         	      
Manisero.DataflowPoc/BlockExit 	2 599,127	Dataflow (6480)	WriteData     	     1	    11   	      
Manisero.DataflowPoc/BlockEnter	2 599,210	Dataflow (6480)	ReportProgress	     1	         	      
Manisero.DataflowPoc/BlockExit 	2 600,149	Dataflow (6480)	ReportProgress	     1	     0   	      
Manisero.DataflowPoc/BlockEnter	2 600,211	Dataflow (6480)	DisposeData   	     1	         	      
Manisero.DataflowPoc/BlockExit 	2 602,178	Dataflow (6480)	Validate      	     2	   685   	      
Manisero.DataflowPoc/BlockEnter	2 602,227	Dataflow (6480)	ComputeFields 	     2	         	      
Manisero.DataflowPoc/BlockEnter	2 602,231	Dataflow (6480)	Validate      	     3	         	      
Manisero.DataflowPoc/BlockEnter	2 602,242	Dataflow (6480)	ReadData      	     4	         	      
Manisero.DataflowPoc/BlockExit 	2 622,654	Dataflow (6480)	DisposeData   	     1	    22   	      
Manisero.DataflowPoc/BlockExit 	2 648,040	Dataflow (6480)	ReadData      	     4	    45   	      
Manisero.DataflowPoc/BlockExit 	3 264,690	Dataflow (6480)	Validate      	     3	   662   	      
Manisero.DataflowPoc/BlockExit 	3 292,426	Dataflow (6480)	ComputeFields 	     2	   690   	      
Manisero.DataflowPoc/BlockEnter	3 296,687	Dataflow (6480)	ComputeFields 	     3	         	      
Manisero.DataflowPoc/BlockEnter	3 296,865	Dataflow (6480)	WriteData     	     2	         	      
Manisero.DataflowPoc/BlockEnter	3 297,710	Dataflow (6480)	Validate      	     4	         	      
Manisero.DataflowPoc/BlockEnter	3 299,442	Dataflow (6480)	ReadData      	     5	         	      
Manisero.DataflowPoc/BlockExit 	3 309,087	Dataflow (6480)	WriteData     	     2	    12   	      
Manisero.DataflowPoc/BlockEnter	3 309,109	Dataflow (6480)	ReportProgress	     2	         	      
Manisero.DataflowPoc/BlockExit 	3 309,135	Dataflow (6480)	ReportProgress	     2	     0   	      
Manisero.DataflowPoc/BlockEnter	3 309,145	Dataflow (6480)	DisposeData   	     2	         	      
Manisero.DataflowPoc/BlockExit 	3 327,297	Dataflow (6480)	DisposeData   	     2	    18   	      
Manisero.DataflowPoc/BlockExit 	3 359,417	Dataflow (6480)	ReadData      	     5	    59   	      
Manisero.DataflowPoc/BlockExit 	3 990,521	Dataflow (6480)	Validate      	     4	   692   	      
Manisero.DataflowPoc/BlockExit 	4 031,439	Dataflow (6480)	ComputeFields 	     3	   734   	      
Manisero.DataflowPoc/BlockEnter	4 031,536	Dataflow (6480)	WriteData     	     3	         	      
Manisero.DataflowPoc/BlockEnter	4 031,551	Dataflow (6480)	ComputeFields 	     4	         	      
Manisero.DataflowPoc/BlockEnter	4 031,565	Dataflow (6480)	Validate      	     5	         	      
Manisero.DataflowPoc/BlockEnter	4 031,577	Dataflow (6480)	ReadData      	     6	         	      
Manisero.DataflowPoc/BlockExit 	4 042,008	Dataflow (6480)	WriteData     	     3	    10   	      
Manisero.DataflowPoc/BlockEnter	4 042,105	Dataflow (6480)	ReportProgress	     3	         	      
Manisero.DataflowPoc/BlockExit 	4 042,117	Dataflow (6480)	ReportProgress	     3	     0   	      
Manisero.DataflowPoc/BlockEnter	4 042,125	Dataflow (6480)	DisposeData   	     3	         	      
Manisero.DataflowPoc/BlockExit 	4 061,135	Dataflow (6480)	DisposeData   	     3	    18   	      
Manisero.DataflowPoc/BlockExit 	4 087,787	Dataflow (6480)	ReadData      	     6	    56   	      
Manisero.DataflowPoc/BlockExit 	4 717,532	Dataflow (6480)	ComputeFields 	     4	   685   	      
Manisero.DataflowPoc/BlockEnter	4 717,637	Dataflow (6480)	WriteData     	     4	         	      
Manisero.DataflowPoc/BlockExit 	4 719,031	Dataflow (6480)	Validate      	     5	   687   	      
Manisero.DataflowPoc/BlockEnter	4 719,070	Dataflow (6480)	ComputeFields 	     5	         	      
Manisero.DataflowPoc/BlockEnter	4 719,082	Dataflow (6480)	Validate      	     6	         	      
Manisero.DataflowPoc/BlockEnter	4 719,099	Dataflow (6480)	ReadData      	     7	         	      
Manisero.DataflowPoc/BlockExit 	4 732,511	Dataflow (6480)	WriteData     	     4	    14   	      
Manisero.DataflowPoc/BlockEnter	4 732,606	Dataflow (6480)	ReportProgress	     4	         	      
Manisero.DataflowPoc/BlockExit 	4 732,629	Dataflow (6480)	ReportProgress	     4	     0   	      
Manisero.DataflowPoc/BlockEnter	4 732,639	Dataflow (6480)	DisposeData   	     4	         	      
Manisero.DataflowPoc/BlockExit 	4 753,133	Dataflow (6480)	DisposeData   	     4	    20   	      
Manisero.DataflowPoc/BlockExit 	4 771,012	Dataflow (6480)	ReadData      	     7	    51   	      
Manisero.DataflowPoc/BlockExit 	5 400,116	Dataflow (6480)	ComputeFields 	     5	   681   	      
Manisero.DataflowPoc/BlockEnter	5 400,241	Dataflow (6480)	WriteData     	     5	         	      
Manisero.DataflowPoc/BlockExit 	5 408,452	Dataflow (6480)	WriteData     	     5	     8   	      
Manisero.DataflowPoc/BlockEnter	5 408,509	Dataflow (6480)	ReportProgress	     5	         	      
Manisero.DataflowPoc/BlockExit 	5 408,526	Dataflow (6480)	ReportProgress	     5	     0   	      
Manisero.DataflowPoc/BlockEnter	5 408,545	Dataflow (6480)	DisposeData   	     5	         	      
Manisero.DataflowPoc/BlockExit 	5 417,837	Dataflow (6480)	DisposeData   	     5	     9   	      
Manisero.DataflowPoc/BlockExit 	5 442,461	Dataflow (6480)	Validate      	     6	   723   	      
Manisero.DataflowPoc/BlockEnter	5 442,589	Dataflow (6480)	ComputeFields 	     6	         	      
Manisero.DataflowPoc/BlockEnter	5 442,619	Dataflow (6480)	Validate      	     7	         	      
Manisero.DataflowPoc/BlockEnter	5 442,629	Dataflow (6480)	ReadData      	     8	         	      
Manisero.DataflowPoc/BlockExit 	5 495,383	Dataflow (6480)	ReadData      	     8	    52   	      
Manisero.DataflowPoc/BlockExit 	6 143,219	Dataflow (6480)	ComputeFields 	     6	   700   	      
Manisero.DataflowPoc/BlockEnter	6 143,314	Dataflow (6480)	WriteData     	     6	         	      
Manisero.DataflowPoc/BlockExit 	6 151,351	Dataflow (6480)	WriteData     	     6	     8   	      
Manisero.DataflowPoc/BlockEnter	6 151,426	Dataflow (6480)	ReportProgress	     6	         	      
Manisero.DataflowPoc/BlockExit 	6 151,442	Dataflow (6480)	ReportProgress	     6	     0   	      
Manisero.DataflowPoc/BlockEnter	6 151,482	Dataflow (6480)	DisposeData   	     6	         	      
Manisero.DataflowPoc/BlockExit 	6 154,692	Dataflow (6480)	Validate      	     7	   712   	      
Manisero.DataflowPoc/BlockEnter	6 154,745	Dataflow (6480)	ComputeFields 	     7	         	      
Manisero.DataflowPoc/BlockEnter	6 154,748	Dataflow (6480)	Validate      	     8	         	      
Manisero.DataflowPoc/BlockEnter	6 154,763	Dataflow (6480)	ReadData      	     9	         	      
Manisero.DataflowPoc/BlockExit 	6 165,510	Dataflow (6480)	DisposeData   	     6	    13   	      
Manisero.DataflowPoc/BlockExit 	6 297,979	Dataflow (6480)	ReadData      	     9	   143   	      
Manisero.DataflowPoc/BlockExit 	6 868,564	Dataflow (6480)	Validate      	     8	   713   	      
Manisero.DataflowPoc/BlockExit 	7 125,869	Dataflow (6480)	ComputeFields 	     7	   971   	      
Manisero.DataflowPoc/BlockEnter	7 125,993	Dataflow (6480)	WriteData     	     7	         	      
Manisero.DataflowPoc/BlockEnter	7 126,002	Dataflow (6480)	ComputeFields 	     8	         	      
Manisero.DataflowPoc/BlockEnter	7 126,013	Dataflow (6480)	Validate      	     9	         	      
Manisero.DataflowPoc/BlockEnter	7 126,042	Dataflow (6480)	ReadData      	    10	         	      
Manisero.DataflowPoc/BlockExit 	7 148,304	Dataflow (6480)	WriteData     	     7	    22   	      
Manisero.DataflowPoc/BlockEnter	7 148,376	Dataflow (6480)	ReportProgress	     7	         	      
Manisero.DataflowPoc/BlockExit 	7 148,387	Dataflow (6480)	ReportProgress	     7	     0   	      
Manisero.DataflowPoc/BlockEnter	7 148,394	Dataflow (6480)	DisposeData   	     7	         	      
Manisero.DataflowPoc/BlockExit 	7 165,483	Dataflow (6480)	DisposeData   	     7	    17   	      
Manisero.DataflowPoc/BlockExit 	7 270,916	Dataflow (6480)	ReadData      	    10	   144   	      
Manisero.DataflowPoc/BlockExit 	7 829,609	Dataflow (6480)	ComputeFields 	     8	   703   	      
Manisero.DataflowPoc/BlockEnter	7 829,708	Dataflow (6480)	WriteData     	     8	         	      
Manisero.DataflowPoc/BlockExit 	7 843,298	Dataflow (6480)	WriteData     	     8	    13   	      
Manisero.DataflowPoc/BlockEnter	7 843,393	Dataflow (6480)	ReportProgress	     8	         	      
Manisero.DataflowPoc/BlockExit 	7 843,407	Dataflow (6480)	ReportProgress	     8	     0   	      
Manisero.DataflowPoc/BlockEnter	7 843,417	Dataflow (6480)	DisposeData   	     8	         	      
Manisero.DataflowPoc/BlockExit 	7 853,051	Dataflow (6480)	DisposeData   	     8	     9   	      
